,type,game_id,home_team,away_team_x,week,season_x,state_of_game,game_url,home_score,away_score,date,season_y,neutral,playoff,away_team_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
19,post,2018012100,NE,JAX,18,2017,POST,http://www.nfl.com/liveupdate/game-center/2018012100/2018012100_gtd.json,24.0,20.0,2018-01-21,2017,0,c,JAX,1745.10792686622,1555.1298510349,0.8127184729900111,0.1872815270099889,1750.51017126293,1549.72760663819,24,20
20,post,2018012101,PHI,MIN,18,2017,POST,http://www.nfl.com/liveupdate/game-center/2018012101/2018012101_gtd.json,38.0,7.0,2018-01-21,2017,0,c,MIN,1661.87806059244,1680.2385772669,0.5667193280111943,0.4332806719888057,1691.28731884238,1650.82931901696,38,7
21,post,2018020400,NE,PHI,18,2017,POST,http://www.nfl.com/liveupdate/game-center/2018020400/2018020400_gtd.json,33.0,41.0,2018-02-04,2017,1,s,PHI,1750.51017126293,1691.28731884238,0.5844125620638966,0.4155874379361034,1724.11799474451,1717.6794953608,33,41
22,post,2016010900,HOU,KC,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016010900/2016010900_gtd.json,0.0,30.0,2016-01-09,2015,0,w,KC,1532.05714465938,1673.17645281849,0.3921752102946289,0.607824789705371,1506.02341058991,1699.21018688796,0,30
23,post,2016010901,CIN,PIT,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016010901/2016010901_gtd.json,16.0,18.0,2016-01-09,2015,0,w,PIT,1628.21769304391,1638.3841424379,0.578263098786909,0.421736901213091,1615.18717709026,1651.41465839155,16,18
24,post,2016011000,MIN,SEA,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016011000/2016011000_gtd.json,9.0,10.0,2016-01-10,2015,0,w,SEA,1604.20595160346,1712.00100806875,0.4387225475742664,0.5612774524257336,1598.24001680929,1717.96694286292,9,10
25,post,2016011001,WSH,GB,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016011001/2016011001_gtd.json,18.0,35.0,2016-01-10,2015,0,w,GB,1518.57212379253,1607.25881367488,0.4659648278789957,0.5340351721210044,1491.92281670655,1633.90812076086,18,35
26,post,2016011600,NE,KC,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016011600/2016011600_gtd.json,27.0,20.0,2016-01-16,2015,0,d,KC,1644.32110337201,1699.21018688796,0.5145466721862079,0.4854533278137921,1664.41817614353,1679.11311411644,27,20
27,post,2016011601,ARI,GB,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016011601/2016011601_gtd.json,26.0,20.0,2016-01-16,2015,0,d,GB,1680.75282754436,1633.90812076086,0.655618697792489,0.3443813022075109,1693.50711983845,1621.15382846677,26,20
28,post,2016011700,CAR,SEA,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016011700/2016011700_gtd.json,31.0,24.0,2016-01-17,2015,0,d,SEA,1684.74155783108,1717.96694286292,0.5456002845585767,0.4543997154414233,1703.37045346108,1699.33804723292,31,24
29,post,2016011701,DEN,PIT,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016011701/2016011701_gtd.json,23.0,16.0,2016-01-17,2015,0,d,PIT,1644.91854054651,1651.41465839155,0.5834070212268251,0.4165929787731749,1661.79535582525,1634.53784311281,23,16
30,post,2016012400,DEN,NE,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016012400/2016012400_gtd.json,20.0,18.0,2016-01-24,2015,0,c,NE,1661.79535582525,1664.41817614353,0.5888157511369566,0.4111842488630434,1670.58089839598,1655.6326335728,20,18
31,post,2016012401,CAR,ARI,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016012401/2016012401_gtd.json,49.0,15.0,2016-01-24,2015,0,c,ARI,1703.37045346108,1693.50711983845,0.6061000169621712,0.3938999830378288,1730.45773685885,1666.41983644068,49,15
32,post,2016020700,DEN,CAR,18,2015,POST,http://www.nfl.com/liveupdate/game-center/2016020700/2016020700_gtd.json,24.0,10.0,2016-02-07,2015,1,s,CAR,1670.58089839598,1730.45773685885,0.4146733928281487,0.5853266071718513,1703.16973722965,1697.86889802518,24,10
33,post,2015010300,CAR,ARI,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015010300/2015010300_gtd.json,27.0,16.0,2015-01-03,2014,0,w,ARI,1536.004,1581.602,0.5278927341027079,0.4721072658972921,1559.262,1558.344,27,16
34,post,2015010301,PIT,BAL,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015010301/2015010301_gtd.json,17.0,30.0,2015-01-03,2014,0,w,BAL,1627.567,1586.808,0.6476665020511337,0.3523334979488662,1591.656,1622.719,17,30
35,post,2015010400,IND,CIN,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015010400/2015010400_gtd.json,26.0,10.0,2015-01-04,2014,0,w,CIN,1583.452,1579.493,0.5979570280387272,0.4020429719612728,1605.541,1557.404,26,10
36,post,2015010401,DAL,DET,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015010401/2015010401_gtd.json,24.0,20.0,2015-01-04,2014,0,w,DET,1637.303,1564.328,0.6887427182935546,0.3112572817064454,1646.731,1554.901,24,20
37,post,2015011000,NE,BAL,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015011000/2015011000_gtd.json,35.0,31.0,2015-01-10,2014,0,d,BAL,1691.589,1622.719,0.68365449214709,0.31634550785291,1701.188,1613.12,35,31
38,post,2015011001,SEA,CAR,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015011001/2015011001_gtd.json,31.0,17.0,2015-01-10,2014,0,d,CAR,1765.381,1559.262,0.8264518276561115,0.1735481723438885,1773.75,1550.894,31,17
39,post,2015011100,GB,DAL,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015011100/2015011100_gtd.json,26.0,21.0,2015-01-11,2014,0,d,DAL,1644.141,1646.731,0.5888614922876818,0.4111385077123182,1658.467,1632.404,26,21
40,post,2015011101,DEN,IND,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015011101/2015011101_gtd.json,13.0,24.0,2015-01-11,2014,0,d,IND,1676.874,1605.541,0.6867128043235324,0.3132871956764675,1640.491,1641.924,13,24
41,post,2015011800,SEA,GB,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015011800/2015011800_gtd.json,28.0,22.0,2015-01-18,2014,0,c,GB,1773.75,1658.467,0.7384238179883861,0.2615761820116139,1783.159,1649.058,28,22
42,post,2015011801,NE,IND,18,2014,POST,http://www.nfl.com/liveupdate/game-center/2015011801/2015011801_gtd.json,45.0,7.0,2015-01-18,2014,0,c,IND,1701.188,1641.924,0.6715758571857016,0.3284241428142984,1723.965,1619.146,45,7
43,post,2011010801,SEA,NO,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010801/2011010801_gtd.json,41.0,36.0,2011-01-08,2010,0,w,NO,1390.512,1618.388,0.2813874843300886,0.7186125156699114,1418.322,1590.577,41,36
44,post,2011010800,IND,NYJ,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010800/2011010800_gtd.json,16.0,17.0,2011-01-08,2010,0,w,NYJ,1607.108,1624.126,0.5686159758235374,0.4313840241764626,1599.05,1632.185,16,17
45,post,2011010900,KC,BAL,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010900/2011010900_gtd.json,7.0,30.0,2011-01-09,2010,0,w,BAL,1482.372,1664.605,0.3374122790400752,0.6625877209599248,1462.011,1684.967,7,30
46,post,2011010901,PHI,GB,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011010901/2011010901_gtd.json,16.0,21.0,2011-01-09,2010,0,w,GB,1593.737,1646.776,0.5172064656041467,0.4827935343958532,1575.101,1665.411,16,21
47,post,2011011500,PIT,BAL,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011011500/2011011500_gtd.json,31.0,24.0,2011-01-15,2010,0,d,BAL,1639.697,1684.967,0.5283632701603843,0.4716367298396157,1659.137,1665.526,31,24
48,post,2011011501,ATL,GB,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011011501/2011011501_gtd.json,21.0,48.0,2011-01-15,2010,0,d,GB,1659.619,1665.411,0.5843917967728054,0.4156082032271946,1619.595,1705.434,21,48
49,post,2011011601,CHI,SEA,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011011601/2011011601_gtd.json,35.0,24.0,2011-01-16,2010,0,d,SEA,1589.516,1418.322,0.7957015004511069,0.2042984995488931,1598.685,1409.153,35,24
50,post,2011011600,NE,NYJ,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011011600/2011011600_gtd.json,21.0,28.0,2011-01-16,2010,0,d,NYJ,1744.614,1632.185,0.7352380932579755,0.2647619067420245,1711.354,1665.445,21,28
51,post,2011012301,CHI,GB,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011012301/2011012301_gtd.json,14.0,21.0,2011-01-23,2010,0,c,GB,1598.685,1705.434,0.4402058760789977,0.5597941239210023,1580.718,1723.401,14,21
52,post,2011012300,PIT,NYJ,18,2010,POST,http://www.nfl.com/liveupdate/game-center/2011012300/2011012300_gtd.json,24.0,19.0,2011-01-23,2010,0,c,NYJ,1659.137,1665.445,0.5836701873747313,0.4163298126252687,1673.669,1650.913,24,19
53,post,2012010700,HOU,CIN,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012010700/2012010700_gtd.json,31.0,10.0,2012-01-07,2011,0,w,CIN,1554.946,1513.302,0.6488281561018846,0.3511718438981154,1575.652,1492.596,31,10
54,post,2012010701,NO,DET,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012010701/2012010701_gtd.json,45.0,28.0,2012-01-07,2011,0,w,DET,1694.383,1544.868,0.7746658918245022,0.2253341081754978,1706.252,1533.0,45,28
55,post,2012010801,NYG,ATL,18,2011,POST,http://www.nfl.com/liveupdate/game-center/2012010801/2012010801_gtd.json,24.0,2.0,2012-01-08,2011,0,w,ATL,1535.392,1597.067,0.5047849135683516,0.4952150864316483,1566.4,1566.059,24,2
